B,M,P0_mean_ms,P0_std_ms,P1_mean_ms,P1_std_ms,P1_vs_P0,P2_mean_ms,P2_std_ms,P2_vs_P0,P3_mean_ms,P3_std_ms,P3_vs_P0,P4_mean_ms,P4_std_ms,P4_vs_P0,P5_mean_ms,P5_std_ms,P5_vs_P0,R,T_kv,config,mode
1,1,0.3231,0.0033,0.4322,0.0014,,,,,0.121,0.0008,,,,,0.1198,0.0003,,1,4096,qwen25_05b,bandwidth
1,1,0.576,0.0035,0.8566,0.0041,,,,,0.1228,0.0015,,,,,0.1211,0.0021,,2,4096,qwen25_05b,bandwidth
1,1,1.0842,0.004,1.6745,0.0082,,,,,0.1222,0.0019,,,,,0.1266,0.0084,,4,4096,qwen25_05b,bandwidth
4,1,0.4837,0.0091,0.6692,0.009,,,,,0.1313,0.0008,,,,,0.13,0.0004,,1,4096,qwen25_05b,bandwidth
4,1,0.7552,0.0023,1.2936,0.0168,,,,,0.1315,0.0009,,,,,0.1438,0.0239,,2,4096,qwen25_05b,bandwidth
4,1,1.3019,0.0039,2.6711,0.033,,,,,0.1366,0.0014,,,,,0.1417,0.0144,,4,4096,qwen25_05b,bandwidth
1,1,0.6069,0.0008,0.7413,0.0055,,,,,0.1945,0.0009,,,,,0.1978,0.0083,,1,8192,qwen25_05b,bandwidth
1,1,1.1065,0.004,1.4582,0.0086,,,,,0.1961,0.0009,,,,,0.1963,0.0027,,2,8192,qwen25_05b,bandwidth
1,1,2.1043,0.0158,2.9032,0.0142,,,,,0.1949,0.0015,,,,,0.1943,0.0016,,4,8192,qwen25_05b,bandwidth
4,1,1.0456,0.0615,1.295,0.0246,,,,,0.2227,0.0012,,,,,0.2249,0.0009,,1,8192,qwen25_05b,bandwidth
4,1,1.6092,0.0181,2.6729,0.0142,,,,,0.2298,0.0009,,,,,0.2263,0.0009,,2,8192,qwen25_05b,bandwidth
4,1,2.8821,0.0243,5.3351,0.0433,,,,,0.2293,0.001,,,,,0.2397,0.0251,,4,8192,qwen25_05b,bandwidth
1,1,0.741,0.0074,0.9536,0.0036,,,,,0.2119,0.0007,,,,,0.2116,0.0005,,1,4096,qwen25_7b,bandwidth
1,1,1.2905,0.0016,1.9078,0.0086,,,,,0.2066,0.0014,,,,,0.2057,0.002,,2,4096,qwen25_7b,bandwidth
1,1,2.4199,0.0171,3.6909,0.0146,,,,,0.2063,0.0018,,,,,0.2048,0.0009,,4,4096,qwen25_7b,bandwidth
4,1,1.456,0.0097,1.9557,0.0423,,,,,0.2774,0.0066,,,,,0.2676,0.0009,,1,4096,qwen25_7b,bandwidth
4,1,2.1005,0.0442,3.9976,0.0126,,,,,0.3215,0.0366,,,,,0.2832,0.0027,,2,4096,qwen25_7b,bandwidth
4,1,3.401,0.0234,7.949,0.0355,,,,,0.2839,0.0026,,,,,0.2801,0.0018,,4,4096,qwen25_7b,bandwidth
1,1,1.564,0.0117,1.9016,0.0309,,,,,0.3786,0.002,,,,,0.4099,0.0628,,1,8192,qwen25_7b,bandwidth
1,1,2.6658,0.009,3.702,0.0227,,,,,0.3708,0.0034,,,,,0.3682,0.0013,,2,8192,qwen25_7b,bandwidth
1,1,4.9697,0.0186,7.2688,0.0354,,,,,0.3623,0.0015,,,,,0.3634,0.0007,,4,8192,qwen25_7b,bandwidth
4,1,2.8299,0.0553,3.9469,0.0276,,,,,0.5233,0.002,,,,,0.5351,0.0206,,1,8192,qwen25_7b,bandwidth
4,1,4.2173,0.0241,7.8175,0.0479,,,,,0.5342,0.0154,,,,,0.5181,0.0021,,2,8192,qwen25_7b,bandwidth
4,1,6.8307,0.1802,16.7006,0.0801,,,,,0.5623,0.0066,,,,,0.5424,0.0059,,4,8192,qwen25_7b,bandwidth
