config,mode,T_kv,B,pipeline,n_runs,mean_ms,std_ms,min_ms,max_ms,median_ms,p5_ms,p95_ms,mean_tps,cv_pct
qwen25_05b,prefill,512,8,P0,10,0.0731,0.0042,0.0708,0.0847,0.0716,0.0708,0.0847,56032831.7,5.8
qwen25_05b,prefill,512,8,P1,10,0.2935,0.0159,0.2801,0.322,0.2864,0.2801,0.322,13955707.0,5.41
qwen25_05b,prefill,512,8,P5,10,0.2909,0.0163,0.2795,0.3209,0.2825,0.2795,0.3209,14080440.0,5.6
qwen25_05b,prefill,512,16,P0,10,0.1178,0.0042,0.1144,0.1269,0.1159,0.1144,0.1269,69541595.9,3.52
qwen25_05b,prefill,512,16,P1,10,0.3224,0.0063,0.3129,0.332,0.3229,0.3129,0.332,25409429.3,1.94
qwen25_05b,prefill,512,16,P5,10,0.3245,0.0185,0.3118,0.353,0.3139,0.3118,0.353,25244992.3,5.69
qwen25_05b,prefill,512,32,P0,10,0.2043,0.0022,0.2009,0.2084,0.2039,0.2009,0.2084,80195790.5,1.1
qwen25_05b,prefill,512,32,P1,10,0.4172,0.0121,0.4042,0.441,0.4175,0.4042,0.441,39271332.7,2.89
qwen25_05b,prefill,512,32,P5,10,0.4154,0.0154,0.4022,0.4471,0.4086,0.4022,0.4471,39441502.2,3.71
qwen25_05b,prefill,1024,1,P0,10,0.0587,0.0053,0.0549,0.0725,0.0571,0.0549,0.0725,17444633.7,8.99
qwen25_05b,prefill,1024,1,P1,10,0.2767,0.0166,0.2641,0.3079,0.2685,0.2641,0.3079,3700758.9,5.98
qwen25_05b,prefill,1024,1,P5,10,0.2861,0.0246,0.2623,0.3313,0.2767,0.2623,0.3313,3579168.1,8.6
qwen25_05b,prefill,1024,2,P0,10,0.0703,0.0042,0.0665,0.078,0.0691,0.0665,0.078,29132290.2,5.92
qwen25_05b,prefill,1024,2,P1,10,0.289,0.0168,0.2744,0.314,0.2806,0.2744,0.314,7086505.2,5.82
qwen25_05b,prefill,1024,2,P5,10,0.2862,0.0151,0.2739,0.3142,0.2789,0.2739,0.3142,7155835.1,5.29
qwen25_05b,prefill,1024,4,P0,10,0.1033,0.0106,0.0976,0.1326,0.0997,0.0976,0.1326,39651500.5,10.26
qwen25_05b,prefill,1024,4,P1,10,0.3207,0.0171,0.3057,0.3479,0.3121,0.3057,0.3479,12772061.1,5.34
qwen25_05b,prefill,1024,4,P5,10,0.3142,0.0097,0.3039,0.3312,0.3104,0.3039,0.3312,13036282.6,3.1
qwen25_05b,prefill,1024,8,P0,10,0.1635,0.0036,0.1609,0.1721,0.1625,0.1609,0.1721,50103975.5,2.2
qwen25_05b,prefill,1024,8,P1,10,0.3721,0.0117,0.361,0.3949,0.3725,0.361,0.3949,22015587.2,3.15
qwen25_05b,prefill,1024,8,P5,10,0.3727,0.0117,0.3603,0.3969,0.3716,0.3603,0.3969,21980144.9,3.14
qwen25_05b,prefill,1024,16,P0,10,0.2965,0.0032,0.2933,0.3035,0.2949,0.2933,0.3035,55258010.1,1.08
qwen25_05b,prefill,1024,16,P1,10,0.5082,0.011,0.4951,0.5327,0.5101,0.4951,0.5327,32239275.9,2.17
qwen25_05b,prefill,1024,16,P5,10,0.5036,0.0068,0.4946,0.5117,0.5065,0.4946,0.5117,32533756.9,1.35
qwen25_05b,prefill,1024,32,P0,10,0.566,0.0072,0.5591,0.5803,0.5641,0.5591,0.5803,57893992.9,1.28
qwen25_05b,prefill,1024,32,P1,10,0.7784,0.0119,0.7633,0.7988,0.7775,0.7633,0.7988,42096608.4,1.52
qwen25_05b,prefill,1024,32,P5,10,0.7767,0.012,0.7603,0.7964,0.7742,0.7603,0.7964,42188747.3,1.55
