model,n_heads,n_kv_heads,head_dim,T,B,lat_P0_ms,lat_P1_ms,lat_P3_ms,speedup_P5_P0,kv_bytes_fp16,kv_bytes_int4,kv_bytes_per_token_fp16,kv_bytes_per_token_int4,flops,ai_fp16,ai_int4,tokens_per_sec_P0,tokens_per_sec_P5
qwen25_1.8b,16,2,128,32768,32,3.1339,18.0142,2.3795,1.317,1073741824,301989888,33554432.0,9437184.0,8589934592,8.0,28.4444,10210.8,13448.2
qwen25_1.8b,16,2,128,65536,1,0.2076,1.2192,1.8959,0.11,67108864,18874368,67108864.0,18874368.0,536870912,8.0,28.4444,4816.3,527.4
qwen25_1.8b,16,2,128,65536,2,0.381,2.3991,2.1706,0.176,134217728,37748736,67108864.0,18874368.0,1073741824,8.0,28.4444,5249.2,921.4
qwen25_1.8b,16,2,128,65536,4,0.7187,4.6503,2.1418,0.336,268435456,75497472,67108864.0,18874368.0,2147483648,8.0,28.4444,5565.7,1867.6
qwen25_1.8b,16,2,128,65536,8,1.4095,9.1052,2.1458,0.657,536870912,150994944,67108864.0,18874368.0,4294967296,8.0,28.4444,5676.0,3728.1
qwen25_1.8b,16,2,128,65536,16,3.1642,18.4956,2.468,1.282,1073741824,301989888,67108864.0,18874368.0,8589934592,8.0,28.4444,5056.6,6483.0
qwen25_1.8b,16,2,128,65536,32,7.0185,37.189,4.8342,1.452,2147483648,603979776,67108864.0,18874368.0,17179869184,8.0,28.4444,4559.4,6619.5
qwen25_1.8b,16,2,128,131072,1,0.4585,2.7321,4.127,0.111,134217728,37748736,134217728.0,37748736.0,1073741824,8.0,28.4444,2181.1,242.3
qwen25_1.8b,16,2,128,131072,2,0.7284,5.1529,4.287,0.17,268435456,75497472,134217728.0,37748736.0,2147483648,8.0,28.4444,2745.6,466.5
qwen25_1.8b,16,2,128,131072,4,1.4064,10.1038,4.2123,0.334,536870912,150994944,134217728.0,37748736.0,4294967296,8.0,28.4444,2844.2,949.6
